"species","lng","lat"
"Alaria esculenta",-7.233672,55.37467
"Alaria esculenta",-7.388966,55.38109
"Alaria esculenta",-5.545583,54.29128
"Alaria esculenta",-5.648361,54.49047
"Alaria esculenta",-5.648361,54.49047
"Alaria esculenta",-5.561586,54.37952
"Alaria esculenta",-5.56133,54.37906
"Alaria esculenta",-5.630705,54.40387
"Alaria esculenta",-5.630705,54.40387
"Alaria esculenta",-5.613255,54.39809
"Alaria esculenta",-5.623157,54.38838
"Alaria esculenta",-5.573361,54.38437
"Alaria esculenta",-10.26036,53.62138
"Alaria esculenta",-9.704535,53.35661
"Alaria esculenta",-10.30107,53.6085
"Alaria esculenta",-9.601664,51.38833
"Alaria esculenta",-9.919423,51.62166
"Alaria esculenta",-10.27083,51.58583
"Alaria esculenta",-5.545181,54.2909
"Alaria esculenta",-8.529996,51.611
"Alaria esculenta",-8.54084,51.60667
"Alaria esculenta",-6.449144,55.23805
"Alaria esculenta",-5.56245,54.28456
"Alaria esculenta",-6.54302,55.22017
"Alaria esculenta",-6.930129,52.1233
"Alaria esculenta",-10.00613,53.25725
"Alaria esculenta",-5.616013,54.67267
"Alaria esculenta",-5.574041,54.6717
"Alaria esculenta",-5.683992,54.6678
"Alaria esculenta",-5.684903,54.66878
"Alaria esculenta",-9.69219,53.29077
"Alaria esculenta",-9.7332,53.23231
"Alaria esculenta",-9.223812,53.14091
